0	1.65
1	1.66911
2	1.68771
3	1.70679
4	1.72554
5	1.7446
6	1.76317
7	1.78221
8	1.80185
9	1.82088
10	1.83943
11	1.85846
12	1.87718
13	1.8962
14	1.91473
15	1.93374
16	1.95404
17	1.97303
18	1.99152
19	2.01049
20	2.02912
21	2.04804
22	2.06644
23	2.08528
24	2.10464
25	2.12334
26	2.14145
27	2.15988
28	2.1778
29	2.19572
30	2.21282
31	2.22987
32	1.64979
33	1.63079
34	1.61215
35	1.59306
36	1.5743
37	1.55525
38	1.53668
39	1.51765
40	1.49803
41	1.479
42	1.46046
43	1.44144
44	1.42273
45	1.40372
46	1.38519
47	1.36619
48	1.3459
49	1.32691
50	1.30842
51	1.28945
52	1.27082
53	1.25189
54	1.23348
55	1.21463
56	1.19524
57	1.17651
58	1.15833
59	1.1398
60	1.12171
61	1.10352
62	1.08603
63	1.06837
0	1.65
1	1.67015
2	1.68559
3	1.70583
4	1.72718
5	1.74743
6	1.76291
7	1.78317
8	1.80153
9	1.82178
10	1.83726
11	1.85751
12	1.87885
13	1.89909
14	1.91456
15	1.93479
16	1.95813
17	1.97834
18	1.99377
19	2.01395
20	2.03519
21	2.05531
22	2.07066
23	2.09069
24	2.10879
25	2.12865
26	2.14374
27	2.16334
28	2.18374
29	2.20277
30	2.21705
31	2.23527
32	1.64978
33	1.6295
34	1.61391
35	1.59355
36	1.5721
37	1.55177
38	1.53624
39	1.51593
40	1.49751
41	1.47721
42	1.46169
43	1.44139
44	1.42
45	1.39971
46	1.38421
47	1.36393
48	1.34054
49	1.32029
50	1.30482
51	1.2846
52	1.26332
53	1.24316
54	1.22779
55	1.20773
56	1.1896
57	1.1697
58	1.15458
59	1.13493
60	1.11445
61	1.09529
62	1.08088
63	1.06237
0	1.65
1	1.66958
2	1.68767
3	1.7073
4	1.72237
5	1.742
6	1.7601
7	1.77973
8	1.79656
9	1.81618
10	1.83427
11	1.85389
12	1.86894
13	1.88854
14	1.90663
15	1.92623
16	1.95403
17	1.97361
18	1.99166
19	2.01121
20	2.0262
21	2.04571
22	2.06368
23	2.08311
24	2.09971
25	2.119
26	2.13667
27	2.15567
28	2.17008
29	2.18856
30	2.20523
31	2.22276
32	1.64981
33	1.63175
34	1.61438
35	1.59534
36	1.58065
37	1.56144
38	1.54368
39	1.5244
40	1.50785
41	1.48853
42	1.4707
43	1.45135
44	1.4365
45	1.41714
46	1.39928
47	1.37991
48	1.35241
49	1.33303
50	1.31517
51	1.2958
52	1.28095
53	1.2616
54	1.24377
55	1.22447
56	1.20796
57	1.18874
58	1.17108
59	1.15202
60	1.13749
61	1.11869
62	1.10153
63	1.08319
0	1.65
1	1.66853
2	1.68775
3	1.70646
4	1.72491
5	1.74366
6	1.76298
7	1.78175
8	1.79966
9	1.81843
10	1.83777
11	1.85655
12	1.87505
13	1.89382
14	1.91316
15	1.93193
16	1.94968
17	1.96843
18	1.98774
19	2.00647
20	2.0249
21	2.04359
22	2.06281
23	2.08144
24	2.09915
25	2.11764
26	2.13659
27	2.15484
28	2.17263
29	2.19042
30	2.20837
31	2.22532
32	1.6498
33	1.63126
34	1.6119
35	1.59309
36	1.57457
37	1.55576
38	1.53638
39	1.51757
40	1.49963
41	1.48082
42	1.46145
43	1.44264
44	1.42413
45	1.40532
46	1.38596
47	1.36716
48	1.34939
49	1.3306
50	1.31127
51	1.29251
52	1.27405
53	1.25532
54	1.23606
55	1.2174
56	1.19964
57	1.18108
58	1.16205
59	1.14368
60	1.12573
61	1.10768
62	1.08932
63	1.07179
0	1.65
1	1.66973
2	1.6898
3	1.70942
4	1.72348
5	1.74307
6	1.76307
7	1.78264
8	1.804
9	1.82356
10	1.84353
11	1.86309
12	1.87711
13	1.89666
14	1.91661
15	1.93614
16	1.95767
17	1.97718
18	1.99709
19	2.01656
20	2.03052
21	2.04995
22	2.06974
23	2.08908
24	2.11008
25	2.12921
26	2.14857
27	2.16729
28	2.18051
29	2.19855
30	2.21638
31	2.23311
32	1.64977
33	1.62909
34	1.60837
